City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Клепиніне,2013,12,0.3,9.9,-11.7,2.5,7.1,0.0
Кропивницький,2013,1,-2.8,4.6,-12.6,4.0,39.6,7.0
Кропивницький,2013,2,0.4,8.4,-5.6,4.2,33.9,5.0
Кропивницький,2013,3,0.3,18.4,-10.2,5.5,49.4,4.0
Кропивницький,2013,4,11.0,27.8,-0.2,4.2,14.6,0.0
Кропивницький,2013,5,19.2,29.5,7.6,3.3,43.8,0.0
Кропивницький,2013,6,21.4,33.7,10.2,3.0,50.4,0.0
Кропивницький,2013,7,20.8,31.1,9.9,3.4,31.5,0.0
Кропивницький,2013,8,20.7,32.7,9.5,3.2,17.7,0.0
Кропивницький,2013,9,12.7,24.6,0.8,3.9,125.0,0.0
Кропивницький,2013,10,8.6,21.4,-2.0,3.4,15.0,0.0
Кропивницький,2013,11,6.1,19.0,-5.4,4.5,17.1,0.0
Кропивницький,2013,12,-1.5,6.5,-13.8,4.1,5.5,3.0
Кобеляки,2013,6,24.7,27.4,22.0,3.0,0.0,0.0
Кобеляки,2013,7,21.3,32.3,10.9,2.4,75.9,0.0
Кобеляки,2013,8,21.3,33.3,10.0,2.6,32.8,0.0
Кобеляки,2013,9,12.9,24.0,1.7,2.9,70.7,0.0
Кобеляки,2013,10,8.5,20.3,-1.2,2.3,29.0,0.0
Кобеляки,2013,11,5.9,19.0,-5.0,2.8,17.7,0.0
Кобеляки,2013,12,-1.2,5.4,-16.9,3.1,13.2,0.0
Ковель,2013,6,19.9,22.8,17.2,1.8,0.0,0.0
Ковель,2013,7,19.6,32.6,10.2,2.0,30.4,0.0
Ковель,2013,8,19.1,33.2,6.6,1.4,23.5,0.0
Ковель,2013,9,11.8,22.7,-1.2,2.3,104.4,0.0
Ковель,2013,10,10.1,22.2,-1.4,1.3,8.7,0.0
Ковель,2013,11,6.0,16.7,-5.6,2.3,53.8,0.0
Ковель,2013,12,1.0,11.2,-6.9,2.8,15.9,0.0
Коломия,2013,6,18.1,20.3,15.5,2.3,2.0,0.0
Коломия,2013,7,18.8,33.0,7.5,2.1,83.7,0.0
Коломия,2013,8,18.5,31.4,8.4,1.4,76.4,0.0
Коломия,2013,9,12.3,22.1,0.9,2.4,70.1,0.0
Коломия,2013,10,9.7,31.0,-3.5,1.2,11.2,0.0
Коломия,2013,11,6.3,20.6,-9.1,1.8,42.1,0.0
Коломия,2013,12,-0.5,10.8,-8.2,1.8,3.1,0.0
Комісарівка,2013,6,25.0,28.1,22.2,2.5,13.0,0.0
Комісарівка,2013,7,21.3,31.7,10.3,1.6,47.1,0.0
Комісарівка,2013,8,21.2,32.4,9.1,1.9,28.0,0.0
Комісарівка,2013,9,13.0,24.4,-0.3,1.9,74.6,0.0
Комісарівка,2013,10,8.3,18.4,-2.3,2.0,44.0,0.0
Комісарівка,2013,11,6.0,19.0,-5.7,2.3,18.6,0.0
Комісарівка,2013,12,-1.3,6.4,-13.6,2.3,11.2,0.0
Конотоп,2013,1,-4.9,1.8,-15.8,2.1,65.1,23.0
Конотоп,2013,2,-1.3,3.9,-9.7,2.4,29.1,25.0
Конотоп,2013,3,-3.0,10.3,-15.5,2.8,97.5,34.0
Конотоп,2013,4,9.3,27.4,-4.1,2.1,26.2,22.0
Конотоп,2013,5,19.4,30.7,6.0,1.8,40.4,0.0
Конотоп,2013,6,21.3,32.4,12.3,1.7,67.7,0.0
Конотоп,2013,7,19.8,30.9,10.5,1.4,56.8,0.0
Конотоп,2013,8,19.4,31.5,10.7,1.4,84.5,0.0
Конотоп,2013,9,11.9,22.0,2.1,1.7,118.8,0.0
Конотоп,2013,10,8.3,18.8,-1.4,1.6,31.8,0.0
Конотоп,2013,11,5.6,17.2,-4.2,2.6,45.7,0.7
Конотоп,2013,12,-1.7,3.8,-14.5,2.6,21.0,9.0
Красноград,2013,6,24.0,27.0,17.5,1.8,0.0,0.0
Красноград,2013,7,21.4,32.4,10.7,1.4,31.0,0.0
Красноград,2013,8,21.5,33.0,11.6,1.6,40.1,0.0
Красноград,2013,9,12.5,22.1,0.9,1.8,103.8,0.0
Красноград,2013,10,8.1,18.4,-0.5,2.0,45.3,0.0
Красноград,2013,11,5.3,18.9,-4.9,2.6,8.1,0.0
Красноград,2013,12,-1.9,3.8,-15.4,2.6,14.6,0.0
Крем’янець,2013,6,18.7,22.5,11.6,2.3,0.0,0.0
Крем’янець,2013,7,18.7,30.9,10.5,2.1,96.8,0.0
Крем’янець,2013,8,19.2,31.8,8.5,2.2,20.7,0.0
Крем’янець,2013,9,11.8,22.0,1.2,3.5,82.9,0.0
Крем’янець,2013,10,10.5,21.4,-0.3,2.5,6.9,0.0
Крем’янець,2013,11,6.8,17.1,-4.6,3.7,35.5,0.0
Крем’янець,2013,12,0.9,9.2,-8.0,4.3,12.4,0.0
Кривий Ріг,2013,1,-1.9,11.4,-12.4,4.1,34.7,15.0
Кривий Ріг,2013,2,0.8,8.2,-4.7,4.7,25.5,16.0
Кривий Ріг,2013,3,1.1,20.3,-8.9,5.6,45.9,3.0
Кривий Ріг,2013,4,11.3,26.7,0.4,4.6,12.8,0.0
Кривий Ріг,2013,5,19.6,29.8,9.7,3.7,21.3,0.0
Кривий Ріг,2013,6,22.2,35.4,9.7,3.6,74.1,0.0
Кривий Ріг,2013,7,21.6,31.8,11.4,3.8,85.0,0.0
Кривий Ріг,2013,8,22.1,33.2,13.3,4.0,21.7,0.0
Кривий Ріг,2013,9,13.5,24.0,1.2,4.3,57.9,0.0
Кривий Ріг,2013,10,8.6,18.2,-1.2,3.8,22.9,1.0
Кривий Ріг,2013,11,6.2,20.3,-6.1,4.3,9.9,0.0
Кривий Ріг,2013,12,-1.3,6.8,-13.5,4.4,4.5,5.0
Куп’янськ,2013,6,25.1,28.9,18.8,0.9,0.0,0.0
Куп’янськ,2013,7,21.6,33.4,11.5,1.0,76.1,0.0
Куп’янськ,2013,8,-21.0,35.0,-9999.0,1.3,64.5,0.0
Куп’янськ,2013,9,12.8,24.0,1.6,1.4,99.1,0.0
Куп’янськ,2013,10,8.3,19.0,0.2,1.3,59.7,0.0
Куп’янськ,2013,11,5.5,18.8,-4.8,1.5,11.5,0.0
Куп’янськ,2013,12,-1.5,4.6,-19.0,2.3,8.4,0.0
Лозова,2013,6,25.4,28.6,18.0,2.8,0.0,0.0
Лозова,2013,7,21.4,32.2,11.0,2.1,36.5,0.0
Лозова,2013,8,21.8,33.0,11.6,2.3,73.0,0.0
Лозова,2013,9,12.8,23.4,1.7,2.4,91.2,0.0
Лозова,2013,10,7.8,18.9,-1.2,2.8,46.5,0.0
Лозова,2013,11,5.0,18.8,-5.4,3.1,6.9,0.0
Лозова,2013,12,-2.1,3.8,-15.1,3.3,12.2,0.0
Лубни,2013,1,-4.1,3.7,-19.0,1.9,67.5,20.0
Лубни,2013,2,-0.6,5.3,-7.4,2.0,28.3,22.0
Лубни,2013,3,-1.5,12.1,-9.8,2.8,113.0,21.0
Лубни,2013,4,10.7,28.2,-3.1,2.1,31.8,12.0
Лубни,2013,5,19.8,29.6,7.8,1.7,35.3,0.0
Лубни,2013,6,21.9,33.3,11.7,1.6,29.7,0.0
Лубни,2013,7,21.0,32.3,10.7,1.8,31.1,0.0
Лубни,2013,8,20.2,31.2,10.6,1.5,56.5,0.0
Лубни,2013,9,12.3,23.7,1.6,2.1,124.5,0.0
Лубни,2013,10,8.6,20.9,-2.2,1.6,12.1,0.0
Лубни,2013,11,5.9,18.0,-4.2,2.6,24.3,0.7
Лубни,2013,12,-1.5,5.3,-14.2,2.4,18.1,11.0
Луцьк,2013,7,19.7,32.2,11.3,2.6,163.4,0.0
Луцьк,2013,8,19.3,32.2,8.0,1.8,21.0,0.0
Луцьк,2013,9,12.0,22.0,-0.8,3.2,76.0,0.0
Луцьк,2013,10,10.2,21.2,1.0,1.9,22.8,0.0
Луцьк,2013,11,6.2,16.7,-4.5,3.1,38.3,0.0
Луцьк,2013,12,0.5,9.8,-6.8,-37.2,10.6,0.0
Львів,2013,1,-3.2,6.3,-14.6,2.2,76.2,12.0
Львів,2013,2,-0.9,5.3,-11.6,3.1,49.8,10.0
Львів,2013,3,-1.6,13.0,-18.3,3.1,140.9,29.0
Львів,2013,4,9.6,27.6,-1.5,2.8,31.3,3.0
Львів,2013,5,15.6,26.6,6.4,2.5,116.5,0.0
Львів,2013,6,18.5,30.1,7.5,1.7,140.8,0.0
Львів,2013,7,18.6,33.2,8.8,2.0,46.9,0.0
Львів,2013,8,18.9,33.0,7.5,1.8,40.4,0.0
Львів,2013,9,11.6,22.5,1.5,2.4,83.7,0.0
Львів,2013,10,10.1,23.2,-2.6,1.8,17.3,0.0
Львів,2013,11,6.0,17.0,-4.8,2.9,37.6,0.8
Львів,2013,12,0.2,10.8,-7.6,3.0,14.3,3.0
Любашівка,2013,1,-3.3,5.4,-52.7,3.2,49.2,19.0
Любашівка,2013,2,0.9,8.6,-4.4,3.2,32.9,11.0
Любашівка,2013,3,1.3,18.4,-10.1,4.3,26.2,6.0
Любашівка,2013,4,11.5,28.4,-1.8,3.6,22.2,0.0
Любашівка,2013,5,19.1,28.4,9.4,2.4,62.7,0.0
Любашівка,2013,6,20.7,31.6,9.8,2.5,95.3,0.0
Любашівка,2013,7,20.7,30.3,10.6,2.3,130.3,0.0
Любашівка,2013,8,20.9,32.6,10.4,2.5,24.5,0.0
Любашівка,2013,9,13.1,24.3,1.6,2.6,76.0,0.0
Любашівка,2013,10,9.5,22.3,-0.6,2.9,3.3,0.0
Любашівка,2013,11,7.2,19.6,-5.9,3.5,27.7,0.0
Любашівка,2013,12,-1.0,6.8,-9.5,3.1,5.0,2.0
Маріуполь,2013,1,-0.7,8.0,-7.0,3.5,88.0,15.0
Маріуполь,2013,2,1.0,6.8,-4.2,5.2,14.0,5.0
Маріуполь,2013,3,2.6,13.2,-7.8,5.2,49.7,6.0
Маріуполь,2013,4,10.7,22.0,2.3,4.9,21.5,0.0
Маріуполь,2013,5,20.4,27.2,13.0,4.0,13.1,0.0
Маріуполь,2013,6,23.1,31.7,12.7,3.9,16.0,0.0
Маріуполь,2013,7,24.0,31.9,13.7,3.9,21.4,0.0
Маріуполь,2013,8,24.4,32.8,14.5,3.9,3.5,0.0
Маріуполь,2013,9,14.9,25.4,3.5,4.5,79.4,0.0
Маріуполь,2013,10,8.9,17.4,0.5,4.1,80.6,0.0
Маріуполь,2013,11,6.3,14.4,-3.2,4.5,4.1,0.0
Маріуполь,2013,12,-0.6,7.1,-13.0,4.5,9.6,1.0
Миронівка,2013,1,-3.7,3.7,-14.2,2.3,66.1,18.0
Миронівка,2013,2,-0.2,5.9,-7.3,2.4,67.4,20.0
Миронівка,2013,3,-1.0,13.5,-10.6,3.4,88.5,13.0
Миронівка,2013,4,10.7,28.7,-2.0,2.8,34.7,0.0
Миронівка,2013,5,18.9,29.6,6.9,2.1,60.7,0.0
Миронівка,2013,6,21.4,31.6,10.7,2.1,57.3,0.0
Миронівка,2013,7,20.5,31.8,10.7,2.0,51.7,0.0
Миронівка,2013,8,19.6,30.8,8.3,1.7,35.2,0.0
Миронівка,2013,9,12.8,23.3,3.0,2.5,134.0,0.0
Миронівка,2013,10,9.6,23.2,-0.8,2.4,7.6,0.0
Миронівка,2013,11,6.7,18.5,-3.2,3.1,33.5,0.0
Миронівка,2013,12,-0.4,6.0,-13.8,3.3,7.8,7.0
Могилів-Подільський,2013,1,-3.3,5.3,-14.7,1.2,43.9,29.0
Могилів-Подільський,2013,2,1.2,7.0,-5.5,1.4,33.3,7.0
Могилів-Подільський,2013,3,1.3,13.3,-11.7,1.9,65.6,4.0
Могилів-Подільський,2013,4,12.1,31.3,-2.4,1.5,18.4,0.0
Могилів-Подільський,2013,5,18.2,31.2,6.8,1.3,92.2,0.0
Могилів-Подільський,2013,6,20.9,31.8,8.3,1.2,91.4,0.0
Могилів-Подільський,2013,7,20.7,32.9,9.2,1.2,58.7,0.0
Могилів-Подільський,2013,8,20.3,33.4,8.7,1.1,53.0,0.0
Могилів-Подільський,2013,9,13.7,24.8,2.1,1.6,98.4,0.0
Могилів-Подільський,2013,10,10.4,23.7,-2.6,1.0,4.2,0.0
Могилів-Подільський,2013,11,8.7,21.8,-5.5,1.7,50.3,0.0
Могилів-Подільський,2013,12,0.5,11.1,-6.5,1.4,4.8,2.0
Ніжин,2013,6,21.1,24.7,17.0,2.5,0.0,0.0
Ніжин,2013,7,19.7,30.5,10.6,-281.6,48.8,0.0
Ніжин,2013,8,18.5,31.0,8.7,-41.1,55.2,0.0
Ніжин,2013,9,11.9,23.0,2.3,-83.2,147.4,0.0
Ніжин,2013,10,8.6,21.5,-0.7,-164.3,23.8,0.0
Ніжин,2013,11,5.8,16.3,-3.5,-383.2,36.6,0.0
Ніжин,2013,12,-1.1,4.7,-13.1,-322.1,14.4,0.0
Миколаїв,2013,9,13.0,22.5,4.1,4.2,23.9,0.0
Миколаїв,2013,10,9.7,19.8,0.5,3.6,37.6,0.0
Миколаїв,2013,11,7.7,18.9,-6.0,4.3,9.9,0.0
Миколаїв,2013,12,0.1,9.8,-9.6,3.9,3.7,0.0
Звягель,2013,6,18.0,20.7,13.5,1.3,0.0,0.0
Звягель,2013,7,19.0,29.4,9.5,1.4,119.4,0.0
Звягель,2013,8,-23.9,30.3,-9999.0,1.1,34.5,0.0
Звягель,2013,9,12.0,21.9,0.1,1.7,110.5,0.0
Звягель,2013,10,9.7,21.9,-0.1,1.3,17.0,0.0
Звягель,2013,11,6.5,17.2,-4.7,2.0,65.0,0.0
Звягель,2013,12,0.3,7.3,-9.4,2.1,16.1,0.0
Нова Каховка,2013,6,24.9,27.8,18.1,3.1,0.2,0.0
Нова Каховка,2013,7,23.7,32.5,13.6,2.4,49.9,0.0
Нова Каховка,2013,8,24.5,34.2,13.6,2.4,11.6,0.0
Нова Каховка,2013,9,15.1,27.8,4.0,2.3,29.6,0.0
Нова Каховка,2013,10,9.6,19.6,0.1,2.2,60.1,0.0
Нова Каховка,2013,11,7.8,20.3,-4.5,2.5,6.7,0.0
Нова Каховка,2013,12,0.5,8.7,-10.9,2.4,6.1,0.0
Нова Ушиця,2013,6,19.0,21.6,13.3,0.9,0.0,0.0
Нова Ушиця,2013,7,19.4,30.3,10.5,1.7,42.0,0.0
Нова Ушиця,2013,8,19.2,30.4,10.4,1.0,56.4,0.0
Нова Ушиця,2013,9,12.1,21.8,1.9,2.7,100.0,0.0
Нова Ушиця,2013,10,9.7,22.8,-0.3,1.3,6.7,0.0
Нова Ушиця,2013,11,6.9,20.0,-6.2,2.5,72.0,0.0
Нова Ушиця,2013,12,-0.4,7.5,-8.2,2.5,9.0,0.0
Новомиргород,2013,6,22.1,24.9,17.2,2.1,2.0,0.0
Новомиргород,2013,7,20.5,31.1,9.3,1.8,37.8,0.0
Новомиргород,2013,8,20.1,31.5,8.5,1.8,52.4,0.0
Новомиргород,2013,9,12.0,23.4,-0.1,1.9,118.3,0.0
Новомиргород,2013,10,8.6,21.9,-2.5,1.9,9.4,0.0
Новомиргород,2013,11,6.3,19.0,-5.2,2.5,18.1,0.0
Новомиргород,2013,12,-1.8,6.1,-12.5,2.3,10.7,0.0
Овруч,2013,6,20.1,23.3,15.6,1.3,0.0,0.0
Овруч,2013,7,19.4,31.1,10.2,1.0,21.2,0.0
Овруч,2013,8,18.3,31.4,7.5,0.8,36.6,0.0
Овруч,2013,9,12.0,21.7,0.8,1.4,101.0,0.0
Овруч,2013,10,9.1,22.2,-0.3,1.0,27.7,0.0
Овруч,2013,11,5.9,16.4,-4.5,1.6,62.1,0.0
Овруч,2013,12,-0.2,6.3,-11.2,1.6,20.5,0.0
Одеса,2013,1,0.2,11.1,-12.3,2.9,66.7,18.0
Одеса,2013,2,2.6,9.9,-2.4,3.5,33.4,9.0
Одеса,2013,3,3.1,12.1,-7.8,3.3,18.8,6.0
Одеса,2013,4,11.3,25.6,3.2,3.0,8.4,0.0
Одеса,2013,5,19.1,24.9,13.5,2.5,2.0,0.0
Одеса,2013,6,21.9,30.4,13.1,2.0,84.0,0.0
Одеса,2013,7,23.0,31.7,15.0,2.2,46.2,0.0
Одеса,2013,8,23.9,32.2,12.7,1.9,5.1,0.0
Одеса,2013,9,15.4,27.0,6.4,2.4,39.0,0.0
Одеса,2013,10,10.7,20.9,1.6,3.0,27.6,0.0
Одеса,2013,11,9.0,18.4,-4.0,3.3,11.1,0.0
Одеса,2013,12,1.4,8.4,-7.1,2.9,2.8,5.0
Олевськ,2013,6,18.9,21.4,14.8,2.4,0.3,0.0
Олевськ,2013,7,18.8,29.3,7.8,2.2,80.2,0.0
Олевськ,2013,8,18.1,31.6,5.4,1.6,13.6,0.0
Олевськ,2013,9,11.8,22.4,-2.0,2.6,106.0,0.0
Олевськ,2013,10,-32.4,21.6,-9999.0,1.9,22.0,0.0
Олевськ,2013,11,6.1,17.0,-5.1,2.7,65.8,0.0
Олевськ,2013,12,0.3,8.0,-10.6,3.0,26.7,0.0
Полтава,2013,1,-3.3,3.2,-12.1,2.8,47.5,9.0
Полтава,2013,2,-0.7,6.2,-7.0,3.4,23.6,7.0
Полтава,2013,3,-0.9,13.1,-8.8,4.3,82.4,5.0
Полтава,2013,4,11.1,27.2,-0.6,3.6,15.7,0.0
Полтава,2013,5,20.1,28.7,9.1,2.5,57.9,0.0
Полтава,2013,6,21.5,32.7,12.7,2.7,87.2,0.0
Полтава,2013,7,21.0,31.2,11.6,3.0,68.3,0.0
Полтава,2013,8,21.0,32.3,10.6,2.9,40.6,0.0
Полтава,2013,9,12.5,22.7,2.0,3.2,105.2,0.0
Полтава,2013,10,8.1,19.2,-0.5,2.8,41.3,3.0
Полтава,2013,11,5.5,18.6,-4.8,3.1,14.0,0.7
Полтава,2013,12,-1.7,4.6,-15.1,3.3,9.8,4.0
Прилуки,2013,6,21.2,24.3,15.9,2.8,0.4,0.0
Прилуки,2013,7,20.1,31.3,10.0,-38.6,28.3,0.0
Прилуки,2013,8,19.2,31.5,7.2,1.8,44.4,0.0
Прилуки,2013,9,11.8,23.7,0.5,-211.6,167.4,0.0
Прилуки,2013,10,8.5,20.6,-2.8,-81.2,14.0,0.0
Прилуки,2013,11,5.9,17.5,-4.2,2.9,25.8,0.0
Прилуки,2013,12,-1.4,5.2,-13.5,2.6,17.8,0.0
Пришиб,2013,6,23.6,29.0,16.2,2.0,7.0,0.0
Пришиб,2013,7,22.7,34.0,11.4,2.5,22.4,0.0
Пришиб,2013,8,23.8,35.4,12.9,2.8,16.3,0.0
Пришиб,2013,9,14.0,25.8,2.2,3.1,46.6,0.0
Пришиб,2013,10,8.2,20.3,-0.8,3.0,66.9,0.0
Пришиб,2013,11,5.9,20.0,-4.3,3.0,3.6,0.0
Пришиб,2013,12,-1.0,7.4,-12.4,3.1,5.6,0.0
Рава Руська,2013,6,17.6,20.8,10.5,2.4,0.3,0.0
Рава Руська,2013,7,18.9,33.2,8.5,2.5,68.8,0.0
Рава Руська,2013,8,18.9,33.5,7.2,1.9,14.6,0.0
Рава Руська,2013,9,11.9,23.5,-0.9,2.9,88.8,0.0
Рава Руська,2013,10,10.6,22.4,-3.1,2.1,31.5,0.0
Рава Руська,2013,11,6.1,16.9,-3.9,3.0,51.7,0.0
Рава Руська,2013,12,1.0,11.0,-7.3,3.4,14.5,0.0
Рахів,2013,6,18.0,21.2,10.5,4.0,0.0,0.0
Рахів,2013,7,18.6,33.3,7.7,-282.1,57.0,0.0
Рахів,2013,8,18.8,35.6,7.8,1.3,89.7,0.0
Рахів,2013,9,11.7,24.0,2.7,0.8,124.6,0.0
Рахів,2013,10,9.8,24.0,-3.5,1.3,39.5,0.0
Рахів,2013,11,6.5,19.7,-6.5,2.1,79.1,0.0
Рахів,2013,12,-2.6,6.7,-13.7,0.8,46.7,0.0
Рівне,2013,1,-5.4,4.5,-20.4,3.9,52.0,13.0
Рівне,2013,2,-1.6,3.8,-8.0,4.1,27.4,17.0
Рівне,2013,3,-3.4,8.7,-18.5,4.9,74.7,30.0
Рівне,2013,4,9.0,29.9,-4.4,3.8,32.1,17.0
Рівне,2013,5,16.9,28.7,6.3,3.7,93.5,0.0
Рівне,2013,6,19.4,31.0,10.7,2.6,56.9,0.0
Рівне,2013,7,18.7,31.8,8.8,3.2,54.1,0.0
Рівне,2013,8,18.8,33.0,6.9,2.5,50.7,0.0
Рівне,2013,9,11.8,22.3,-0.1,4.2,109.8,0.0
Рівне,2013,10,9.6,21.8,-1.4,2.9,8.7,0.0
Рівне,2013,11,6.0,16.9,-5.6,4.3,42.5,4.0
Рівне,2013,12,-0.0,8.4,-7.7,5.2,12.5,4.0
Ромни,2013,6,20.8,23.2,16.4,2.1,7.0,0.0
Ромни,2013,7,19.9,31.8,10.3,1.4,38.9,0.0
Ромни,2013,8,19.5,30.8,10.4,1.2,99.4,0.0
Ромни,2013,9,11.6,22.0,1.4,1.5,153.0,0.0
Ромни,2013,10,8.4,19.6,-1.2,1.1,19.6,0.0
Ромни,2013,11,5.5,17.2,-4.8,2.0,25.3,0.0
Ромни,2013,12,-1.9,4.2,-14.4,1.9,15.8,0.0
Сарни,2013,1,-4.9,4.8,-21.5,2.2,67.0,19.0
Сарни,2013,2,-0.3,6.9,-6.5,2.7,29.8,15.0
Сарни,2013,3,-2.4,10.8,-20.2,3.3,65.5,21.0
Сарни,2013,4,9.2,28.9,-3.3,2.4,31.5,8.0
Сарни,2013,5,17.2,29.1,3.2,2.5,50.2,0.0
Сарни,2013,6,19.5,31.2,11.7,1.9,119.9,0.0
Сарни,2013,7,19.2,30.6,10.0,2.2,46.6,0.0
Сарни,2013,8,18.9,32.9,7.2,1.6,34.2,0.0
Сарни,2013,9,12.3,23.0,-0.8,2.7,123.9,0.0
Сарни,2013,10,9.7,21.6,-0.4,1.7,12.1,0.0
Сарни,2013,11,6.2,17.2,-5.8,1.7,57.4,1.0
Сарни,2013,12,0.7,8.3,-7.6,2.7,22.9,6.0
Світловодськ,2013,1,-2.3,4.8,-11.5,2.8,47.7,9.0
Світловодськ,2013,2,0.7,7.8,-4.7,3.0,19.8,6.0
Світловодськ,2013,3,0.4,14.1,-7.2,3.9,78.0,5.0
Світловодськ,2013,4,10.7,28.3,-0.1,2.6,12.9,0.0
Світловодськ,2013,5,20.1,30.0,7.9,2.1,35.3,0.0
Світловодськ,2013,6,23.0,35.0,14.2,2.1,16.2,0.0
Світловодськ,2013,7,22.2,31.4,14.6,2.5,74.0,0.0
Світловодськ,2013,8,21.4,31.9,12.7,2.2,69.2,0.0
Світловодськ,2013,9,13.9,24.6,5.0,2.9,88.3,0.0
Світловодськ,2013,10,9.1,21.3,-0.4,2.1,21.2,0.0
Світловодськ,2013,11,6.9,19.9,-2.4,3.5,20.6,0.0
Світловодськ,2013,12,-0.4,6.2,-9.0,3.1,4.6,5.0
Селятин,2013,6,14.9,18.0,10.6,1.1,5.0,0.0
Селятин,2013,7,15.9,30.4,4.3,1.1,34.8,0.0
Селятин,2013,8,16.0,29.9,6.3,1.1,64.7,0.0
Селятин,2013,9,9.4,21.5,-0.6,1.2,75.6,0.0
Селятин,2013,10,-34.2,23.4,-9999.0,0.8,31.0,0.0
Селятин,2013,11,-82.3,20.2,-9999.0,1.1,42.5,0.0
Селятин,2013,12,-3.4,10.2,-16.1,1.2,13.1,0.0
Семенівка,2013,6,18.5,19.9,16.7,3.4,2.0,0.0
Семенівка,2013,7,18.8,30.4,9.4,2.4,71.5,0.0
Семенівка,2013,8,-24.4,32.4,-9999.0,2.0,61.5,0.0
Семенівка,2013,9,11.1,21.6,1.5,2.7,89.5,0.0
Семенівка,2013,10,8.2,20.4,-2.4,2.4,30.1,0.0
Семенівка,2013,11,5.2,15.5,-4.3,3.4,48.8,0.0
Семенівка,2013,12,-1.6,4.9,-14.8,3.6,22.6,0.0
Сімферополь,2013,1,2.6,15.3,-7.9,4.0,52.9,5.0
Сімферополь,2013,2,4.0,20.4,-2.9,5.4,23.4,0.7
Сімферополь,2013,3,5.3,26.6,-6.7,5.1,47.6,4.0
Сімферополь,2013,4,11.5,27.6,2.2,5.1,26.4,0.0
Сімферополь,2013,5,19.1,32.7,9.3,4.3,2.1,0.0
Сімферополь,2013,6,21.2,34.2,10.6,3.8,51.3,0.0
Сімферополь,2013,7,22.4,32.8,12.9,3.7,110.1,0.0
Сімферополь,2013,8,23.9,34.1,13.9,4.0,17.0,0.0
Сімферополь,2013,9,15.1,27.7,3.6,4.0,60.2,0.0
Сімферополь,2013,10,9.3,21.6,-0.7,3.9,110.1,0.0
Сімферополь,2013,11,8.1,23.6,-1.8,3.9,13.9,0.0
Сімферополь,2013,12,0.4,12.1,-12.5,4.1,17.6,1.0
Суми,2013,1,-4.9,1.5,-21.0,3.4,52.6,19.0
Суми,2013,2,-2.0,4.2,-10.2,3.8,30.3,18.0
Суми,2013,3,-3.0,10.0,-16.3,4.2,101.7,22.0
Суми,2013,4,9.3,28.2,-2.8,3.7,15.0,11.0
Суми,2013,5,18.9,29.6,7.2,2.9,41.7,0.0
Суми,2013,6,20.7,31.2,11.1,2.7,54.3,0.0
Суми,2013,7,19.8,30.7,9.6,2.6,49.9,0.0
Суми,2013,8,19.6,31.9,10.8,2.5,80.2,0.0
Суми,2013,9,11.4,21.8,1.0,3.3,113.7,0.0
Суми,2013,10,7.6,18.5,-1.5,3.0,32.7,0.0
Суми,2013,11,5.0,18.2,-4.6,4.5,35.5,0.7
Суми,2013,12,-2.0,3.2,-14.9,4.2,8.9,5.0
Тернопіль,2013,1,-5.3,3.3,-18.6,3.7,48.3,19.0
Тернопіль,2013,2,-2.0,3.2,-9.7,4.3,51.8,30.0
Тернопіль,2013,3,-2.8,4.9,-16.6,4.9,86.1,30.0
Тернопіль,2013,4,9.0,28.3,-4.0,3.7,26.2,22.0
Тернопіль,2013,5,16.1,27.3,6.8,4.0,103.5,0.0
Тернопіль,2013,6,18.5,28.4,6.8,3.1,161.8,0.0
Тернопіль,2013,7,18.6,30.7,9.8,3.7,81.7,0.0
Тернопіль,2013,8,18.1,30.4,8.4,2.5,37.4,0.0
Тернопіль,2013,9,11.8,21.5,3.6,4.9,80.6,0.0
Тернопіль,2013,10,9.3,22.3,-1.3,2.8,11.1,0.0
Тернопіль,2013,11,6.0,18.3,-6.8,4.1,35.1,2.0
Тернопіль,2013,12,-0.1,6.2,-7.4,4.7,5.8,1.0
Тетерів (Пісківка),2013,6,21.2,23.3,16.7,2.0,0.0,0.0
Тетерів (Пісківка),2013,7,19.9,30.4,10.9,-39.6,23.6,0.0
Тетерів (Пісківка),2013,8,18.6,32.1,7.1,1.1,45.1,0.0
Тетерів (Пісківка),2013,9,12.2,22.6,0.3,1.7,120.6,0.0
Тетерів (Пісківка),2013,10,9.5,21.5,-1.6,0.9,19.7,0.0
Тетерів (Пісківка),2013,11,6.5,18.5,-4.0,1.6,56.4,0.0
Тетерів (Пісківка),2013,12,-0.1,9.3,-11.0,1.5,21.0,0.0
Турка,2013,6,14.3,17.0,9.4,0.8,6.0,0.0
Турка,2013,7,16.2,31.6,4.9,1.2,58.9,0.0
Турка,2013,8,16.3,32.8,5.5,1.1,53.6,0.0
Турка,2013,9,9.7,22.0,-2.7,1.8,84.6,0.0
Турка,2013,10,9.5,20.5,-5.8,1.8,30.6,0.0
Турка,2013,11,4.9,14.4,-11.3,2.3,80.9,0.0
Турка,2013,12,-0.3,10.7,-15.0,2.9,24.6,0.0
Ужгород,2013,1,-1.1,9.6,-12.5,2.1,87.9,13.0
Ужгород,2013,2,2.1,12.4,-5.4,2.1,89.6,10.0
Ужгород,2013,3,3.2,14.6,-9.0,2.9,102.8,3.0
