City,Year,Month,Average Temperature,Max Temperature,Min Temperature,Average Wind Speed,Total Precipitation,Max Snow Depth
Знам’янка,2012,11,+4.3 °,+14.2°,-5.6°,2.4 м/с,56.3 мм,-
Знам’янка,2012,12,-3.6 °,+11.9°,-17.8°,3 м/с,70.6 мм,15 см
Івано-Франківськ,2012,1,-3.5 °,+8.7°,-27.7°,2.3 м/с,38.2 мм,20 см
Івано-Франківськ,2012,2,-9.6 °,+8.1°,-32.4°,2.3 м/с,35.4 мм,33 см
Івано-Франківськ,2012,3,+4.5 °,+21.4°,-12.3°,4.2 м/с,16.7 мм,6 см
Івано-Франківськ,2012,4,+10.2 °,+30.1°,-5.8°,2.6 м/с,41.7 мм,-
Івано-Франківськ,2012,5,+15.5 °,+29.9°,+4.6°,2.2 м/с,83.3 мм,-
Івано-Франківськ,2012,6,+18.8 °,+31.5°,+6°,2.3 м/с,87.6 мм,-
Івано-Франківськ,2012,7,+21.3 °,+34°,+9.8°,2.2 м/с,102.8 мм,-
Івано-Франківськ,2012,8,+19.2 °,+33.3°,+7.8°,2.5 м/с,112.3 мм,-
Івано-Франківськ,2012,9,+15.2 °,+29.1°,+6°,1.9 м/с,66.3 мм,-
Івано-Франківськ,2012,10,+9.2 °,+24.2°,-2.6°,2.1 м/с,56.6 мм,0.7 см
Івано-Франківськ,2012,11,+4.3 °,+18.5°,-5.1°,2.4 м/с,27.8 мм,-
Івано-Франківськ,2012,12,-5.5 °,+9.5°,-20.3°,2 м/с,58.3 мм,30 см
Ізмаїл,2012,3,+7.2 °,+7.2°,+7.2°,4 м/с,0 мм,-
Ізмаїл,2012,8,+18.7 °,+18.7°,+18.7°,1 м/с,0 мм,-
Ізмаїл,2012,9,+18.8 °,+29.7°,+10°,2.3 м/с,13.8 мм,-
Ізмаїл,2012,10,+14.5 °,+27.8°,+5.2°,2.4 м/с,87.7 мм,-
Ізмаїл,2012,11,+7.2 °,+20.6°,-1.4°,2 м/с,28.8 мм,-
Ізмаїл,2012,12,-0.1 °,+13.3°,-12°,3.5 м/с,204.5 мм,7 см
Ізюм,2012,1,-4.3 °,+9.2°,-19.7°,2.5 м/с,42.9 мм,7 см
Ізюм,2012,2,-10.2 °,+2.5°,-29.5°,1.9 м/с,29.6 мм,13 см
Ізюм,2012,3,+0.2 °,+12.7°,-15.9°,2.9 м/с,47.1 мм,6 см
Ізюм,2012,4,+13.7 °,+30.3°,-0.4°,1.9 м/с,18.4 мм,-
Ізюм,2012,5,+19.1 °,+32.9°,+3.1°,1.5 м/с,36.3 мм,-
Ізюм,2012,6,+21.6 °,+35.6°,+7.5°,1.7 м/с,74.1 мм,-
Ізюм,2012,7,+24.1 °,+34.1°,+11.6°,1.8 м/с,54.7 мм,-
Ізюм,2012,8,+21.6 °,+37.7°,+7°,1.5 м/с,155 мм,-
Ізюм,2012,9,+15.3 °,+27.7°,+2.2°,1 м/с,34.8 мм,-
Ізюм,2012,10,+11.1 °,+23.4°,-1.1°,1.4 м/с,77.3 мм,-
Ізюм,2012,11,+4.1 °,+16°,-5.6°,1.6 м/с,13.7 мм,-
Ізюм,2012,12,-4.1 °,+12.8°,-19.2°,2.9 м/с,103.6 мм,29 см
Кам’янець-Подільський,2012,3,+5.2 °,+5.2°,+5.2°,3 м/с,0.8 мм,-
Кам’янець-Подільський,2012,8,+18.8 °,+18.8°,+18.8°,1 м/с,0 мм,-
Кам’янець-Подільський,2012,9,+16.5 °,+28.2°,+5.8°,2 м/с,21.2 мм,-
Кам’янець-Подільський,2012,10,+10.2 °,+26.6°,-0.4°,2.1 м/с,135.7 мм,-
Кам’янець-Подільський,2012,11,+5 °,+15°,-1.6°,2.5 м/с,40.6 мм,-
Кам’янець-Подільський,2012,12,-5.1 °,+7°,-17.7°,2.7 м/с,192.3 мм,45 см
Керч,2012,1,+0.4 °,+11°,-13°,5.3 м/с,61.3 мм,15 см
Керч,2012,2,-6.2 °,+7°,-19.8°,5.3 м/с,18.6 мм,8 см
Керч,2012,3,+2.3 °,+14.6°,-8.4°,5.4 м/с,18.5 мм,11 см
Керч,2012,4,+12.4 °,+27.2°,+2.4°,4.3 м/с,21.6 мм,-
Керч,2012,5,+18.9 °,+29°,+10.1°,3.3 м/с,45 мм,-
Керч,2012,6,+23.1 °,+32.7°,+13.2°,3.8 м/с,37.6 мм,-
Керч,2012,7,+25.5 °,+33.3°,+14.3°,4.5 м/с,8.2 мм,-
Керч,2012,8,+24.5 °,+34.2°,+10.3°,4.2 м/с,13.6 мм,-
Керч,2012,9,+20.3 °,+30.2°,+11.8°,4 м/с,1.4 мм,-
Керч,2012,10,+16.5 °,+25.5°,+3.7°,3.8 м/с,0.8 мм,-
Керч,2012,11,+8.9 °,+20°,-0.4°,4.4 м/с,14.8 мм,-
Керч,2012,12,+2.4 °,+16.5°,-8.2°,5.2 м/с,36.6 мм,1 см
Київ,2012,1,-4 °,+5.1°,-18.3°,2.3 м/с,61.9 мм,42 см
Київ,2012,2,-9.9 °,+4.8°,-26.7°,2.4 м/с,31.8 мм,38 см
Київ,2012,3,+2.6 °,+19°,-8°,3.4 м/с,36.4 мм,14 см
Київ,2012,4,+11.8 °,+29.7°,-1.7°,2.7 м/с,83.6 мм,-
Київ,2012,5,+18.1 °,+29.2°,+9.3°,2.3 м/с,42.6 мм,-
Київ,2012,6,+20 °,+31.3°,+10.3°,2.4 м/с,89.5 мм,-
Київ,2012,7,+23.7 °,+34.6°,+14.2°,2.3 м/с,36 мм,-
Київ,2012,8,+20.5 °,+36.6°,+10.3°,2.6 м/с,115.6 мм,-
Київ,2012,9,+16.2 °,+26.7°,+7.1°,2.2 м/с,33.1 мм,-
Київ,2012,10,+10 °,+24.5°,-1.1°,2.4 м/с,50.6 мм,-
Київ,2012,11,+4.7 °,+14.6°,-4.1°,2.5 м/с,35.9 мм,-
Київ,2012,12,-5 °,+5.9°,-17.1°,2.4 м/с,171.9 мм,54 см
Кирилівка,2012,3,+0.2 °,+0.2°,+0.2°,1 м/с,0 мм,-
Кирилівка,2012,8,+14.2 °,+14.2°,+14.2°,1 м/с,0 мм,-
Кирилівка,2012,9,+17 °,+27.6°,+7.6°,0.9 м/с,22 мм,-
Кирилівка,2012,10,+12.9 °,+23.6°,+1.4°,1.5 м/с,18.8 мм,-
Кирилівка,2012,11,+4.5 °,+15.7°,-4.4°,1.4 м/с,17.2 мм,-
Кирилівка,2012,12,-2.6 °,+13.1°,-17.3°,2.3 м/с,94.1 мм,9 см
Клепиніне,2012,3,+4.5 °,+4.5°,+4.5°,3 м/с,8 мм,-
Клепиніне,2012,8,+17.6 °,+17.6°,+17.6°,1 м/с,0 мм,-
Клепиніне,2012,9,+19.6 °,+31°,+7°,2.2 м/с,5.2 мм,-
Клепиніне,2012,10,+15.7 °,+29.8°,+3.6°,2.7 м/с,5.2 мм,-
Клепиніне,2012,11,+8 °,+20.8°,-2.8°,2.5 м/с,38 мм,-
Клепиніне,2012,12,+2.2 °,+15.8°,-15.2°,3.7 м/с,51.3 мм,4 см
Кропивницький,2012,1,-4.3 °,+7°,-20.4°,4.1 м/с,56.6 мм,16 см
Кропивницький,2012,2,-10.5 °,+3.9°,-28.6°,4 м/с,18 мм,22 см
Кропивницький,2012,3,+1.2 °,+17.6°,-13.4°,4.3 м/с,16.3 мм,10 см
Кропивницький,2012,4,+12.8 °,+30°,-2°,4.2 м/с,17.9 мм,-
Кропивницький,2012,5,+19.3 °,+29.8°,+7.7°,3.9 м/с,22 мм,-
Кропивницький,2012,6,+21.8 °,+33.9°,+7.4°,3.7 м/с,26.2 мм,-
Кропивницький,2012,7,+24.3 °,+34.6°,+11°,3.7 м/с,59.6 мм,-
Кропивницький,2012,8,+21.5 °,+37.8°,+7.2°,3.8 м/с,41.5 мм,-
Кропивницький,2012,9,+17.1 °,+28.2°,+5.8°,2.9 м/с,37.6 мм,-
Кропивницький,2012,10,+11.5 °,+24.5°,+0.1°,3.6 м/с,139.4 мм,1 см
Кропивницький,2012,11,+4.7 °,+14.2°,-4°,3.9 м/с,26.1 мм,-
Кропивницький,2012,12,-3.9 °,+12.3°,-19.6°,4.8 м/с,56.1 мм,14 см
Кобеляки,2012,3,+0.7 °,+0.7°,+0.7°,0 м/с,0.6 мм,-
Кобеляки,2012,8,+19.8 °,+19.8°,+19.8°,1 м/с,0 мм,-
Кобеляки,2012,9,+16.8 °,+26.8°,+8°,2.1 м/с,85.4 мм,-
Кобеляки,2012,10,+11.6 °,+25°,+0.5°,2.6 м/с,221.2 мм,-
Кобеляки,2012,11,+4.4 °,+14.3°,-3.1°,2.6 м/с,29.2 мм,-
Кобеляки,2012,12,-3.5 °,+11.4°,-16.5°,3.5 м/с,113.4 мм,20 см
Ковель,2012,3,+2.8 °,+2.8°,+2.8°,4 м/с,0 мм,-
Ковель,2012,8,+16.5 °,+16.5°,+16.5°,1 м/с,0 мм,-
Ковель,2012,9,+14.8 °,+28.6°,+3°,1.3 м/с,89.2 мм,-
Ковель,2012,10,+8 °,+23.4°,-2°,1.9 м/с,116.6 мм,2 см
Ковель,2012,11,+5.1 °,+14.8°,-1.6°,2.2 м/с,35 мм,-
Ковель,2012,12,-4.6 °,+5.3°,-19.1°,2.4 м/с,101.4 мм,23 см
Коломия,2012,3,+5.1 °,+5.1°,+5.1°,5 м/с,0 мм,-
Коломия,2012,8,+18.1 °,+18.1°,+18.1°,2 м/с,0 мм,-
Коломия,2012,9,+15 °,+29.4°,+6°,1.4 м/с,113.7 мм,-
Коломия,2012,10,+9 °,+25°,-2.5°,1.3 м/с,50.7 мм,-
Коломия,2012,11,+3.9 °,+17.7°,-5.2°,1.5 м/с,54 мм,-
Коломия,2012,12,-6 °,+8.7°,-20.6°,1.6 м/с,115 мм,28 см
Комісарівка,2012,3,+1.3 °,+1.3°,+1.3°,1 м/с,0 мм,-
Комісарівка,2012,8,+17.9 °,+17.9°,+17.9°,1 м/с,0 мм,-
Комісарівка,2012,9,+16.6 °,+27.1°,+5.5°,1.3 м/с,66.6 мм,-
Комісарівка,2012,10,+12 °,+25°,+0.5°,2 м/с,192 мм,-
Комісарівка,2012,11,+4.7 °,+16.2°,-4.2°,2.1 м/с,29.2 мм,-
Комісарівка,2012,12,-2.8 °,+12°,-23.3°,3.5 м/с,92.3 мм,16 см
Конотоп,2012,1,-4.7 °,+5.5°,-20.7°,2.7 м/с,63.2 мм,13 см
Конотоп,2012,2,-11.2 °,+2.8°,-28.1°,2.1 м/с,30.8 мм,23 см
Конотоп,2012,3,+0.1 °,+14.4°,-14.1°,2.5 м/с,30.1 мм,19 см
Конотоп,2012,4,+11.6 °,+29.3°,-1.2°,2.2 м/с,61.2 мм,2 см
Конотоп,2012,5,+18.2 °,+28.4°,+6.6°,2.1 м/с,39.7 мм,-
Конотоп,2012,6,+19.2 °,+29.7°,+6.3°,1.7 м/с,45.8 мм,-
Конотоп,2012,7,+22.6 °,+32.7°,+11.6°,1.6 м/с,36 мм,-
Конотоп,2012,8,+19.8 °,+35.6°,+6.1°,1.6 м/с,86.7 мм,-
Конотоп,2012,9,+15.2 °,+27.3°,+4.3°,1.3 м/с,16.2 мм,-
Конотоп,2012,10,+9.2 °,+23.9°,-3.7°,1.9 м/с,49.3 мм,10 см
Конотоп,2012,11,+3.7 °,+12.4°,-5.4°,2 м/с,33.3 мм,1 см
Конотоп,2012,12,-5.6 °,+6.3°,-20.8°,3.2 м/с,60.2 мм,16 см
Красноград,2012,3,+0.8 °,+0.8°,+0.8°,1 м/с,0 мм,-
Красноград,2012,8,+15.6 °,+15.6°,+15.6°,1 м/с,0 мм,-
Красноград,2012,9,+16.8 °,+27.4°,+8°,1.4 м/с,17.6 мм,-
Красноград,2012,10,+11.5 °,+24.5°,+1°,2.1 м/с,220.4 мм,-
Красноград,2012,11,+3.8 °,+14.8°,-3.7°,2.2 м/с,40.8 мм,-
Красноград,2012,12,-4.1 °,+12°,-17.9°,3.6 м/с,105.4 мм,19 см
Крем’янець,2012,10,+8.4 °,+20.2°,-0.8°,3.1 м/с,176.5 мм,-
Крем’янець,2012,11,+5.2 °,+15.2°,-2.2°,3.3 м/с,62.6 мм,-
Крем’янець,2012,12,-4.8 °,+8.6°,-16.8°,4.6 м/с,125.1 мм,32 см
Кривий Ріг,2012,1,-3.8 °,+7.2°,-19.4°,4.9 м/с,52.3 мм,18 см
Кривий Ріг,2012,2,-9.8 °,+3.4°,-27.3°,4.9 м/с,15.6 мм,20 см
Кривий Ріг,2012,3,+0.6 °,+16.4°,-12.7°,4.5 м/с,16.9 мм,18 см
Кривий Ріг,2012,4,+13.4 °,+31.8°,-0.5°,4.5 м/с,18.6 мм,-
Кривий Ріг,2012,5,+20.1 °,+31.2°,+9.7°,4.2 м/с,44.2 мм,-
Кривий Ріг,2012,6,+22.6 °,+35.1°,+9.3°,4.1 м/с,23.2 мм,-
Кривий Ріг,2012,7,+25.6 °,+35.8°,+12.6°,4.4 м/с,59.7 мм,-
Кривий Ріг,2012,8,+22.7 °,+36.7°,+8.4°,4.4 м/с,39.4 мм,-
Кривий Ріг,2012,9,+17.9 °,+28.2°,+6.6°,3.2 м/с,28.9 мм,-
Кривий Ріг,2012,10,+12.5 °,+25.5°,+1°,4.1 м/с,73.9 мм,-
Кривий Ріг,2012,11,+4.8 °,+15.8°,-3.4°,3.8 м/с,10.1 мм,-
Кривий Ріг,2012,12,-3.2 °,+13.1°,-20.5°,5.5 м/с,42.8 мм,12 см
Куп’янськ,2012,3,+2.2 °,+2.2°,+2.2°,0 м/с,0 мм,-
Куп’янськ,2012,8,+13 °,+13°,+13°,0 м/с,0 мм,-
Куп’янськ,2012,9,+15.7 °,+27.6°,+5°,0.8 м/с,30.6 мм,-
Куп’янськ,2012,10,+11 °,+23.6°,-4°,1.4 м/с,152.9 мм,-
Куп’янськ,2012,11,+3.6 °,+16.1°,-5.4°,1.2 м/с,30.4 мм,-
Куп’янськ,2012,12,-4.3 °,+12.6°,-22.4°,2.3 м/с,187.2 мм,41 см
Лозова,2012,3,+0.4 °,+0.4°,+0.4°,0 м/с,0 мм,-
Лозова,2012,8,+15 °,+15°,+15°,0 м/с,0 мм,-
Лозова,2012,9,+16.3 °,+26.9°,+8.3°,1.5 м/с,54 мм,-
Лозова,2012,10,+11.4 °,+23.1°,+0.4°,2.2 м/с,113.8 мм,-
Лозова,2012,11,+3.7 °,+15.2°,-5.2°,2.1 м/с,42.6 мм,-
Лозова,2012,12,-4.1 °,+12.9°,-18.6°,4.7 м/с,94.9 мм,17 см
Лубни,2012,1,-4.3 °,+6.2°,-18.5°,2.2 м/с,87.1 мм,30 см
Лубни,2012,2,-10.5 °,+2.9°,-26.6°,2 м/с,31.8 мм,28 см
Лубни,2012,3,+0.5 °,+15°,-11.7°,2.6 м/с,34.8 мм,26 см
Лубни,2012,4,+12.7 °,+29.6°,-0.2°,1.9 м/с,37 мм,0.7 см
Лубни,2012,5,+18.9 °,+29.3°,+8.9°,1.8 м/с,22.6 мм,-
Лубни,2012,6,+20.8 °,+31.6°,+7.9°,1.9 м/с,25.8 мм,-
Лубни,2012,7,+23.7 °,+33.3°,+11.7°,1.4 м/с,87.4 мм,-
Лубни,2012,8,+20.6 °,+36.6°,+7.4°,1.9 м/с,92.8 мм,-
Лубни,2012,9,+16.3 °,+26.4°,+5.4°,1.4 м/с,24 мм,-
Лубни,2012,10,+10.2 °,+24.1°,-3.1°,1.9 м/с,104.9 мм,7 см
Лубни,2012,11,+4.1 °,+13.8°,-3.6°,1.9 м/с,31.1 мм,0.8 см
Лубни,2012,12,-4.8 °,+8.1°,-16.5°,2.8 м/с,82.5 мм,24 см
Луцьк,2012,3,+3 °,+3°,+3°,5 м/с,0 мм,-
Луцьк,2012,8,+17 °,+17°,+17°,2 м/с,0 мм,-
Луцьк,2012,9,+15.1 °,+27.3°,+3.5°,2.1 м/с,169.9 мм,-
Луцьк,2012,10,+8.5 °,+21.8°,-1°,2.6 м/с,164 мм,0.7 см
Луцьк,2012,11,+5 °,+15°,-1.4°,2.8 м/с,63.6 мм,-
Луцьк,2012,12,-5.5 °,+4.2°,-17.6°,2.9 м/с,139.3 мм,28 см
Львів,2012,1,-2.5 °,+7.4°,-19.7°,3.9 м/с,61.1 мм,21 см
Львів,2012,2,-9 °,+5°,-28.1°,3.5 м/с,57.5 мм,25 см
Львів,2012,3,+4 °,+17.9°,-8.6°,4.7 м/с,29.9 мм,3 см
Львів,2012,4,+9.7 °,+28.3°,-4.3°,3.5 м/с,56.7 мм,0.7 см
Львів,2012,5,+15.2 °,+29°,+5°,2.9 м/с,69.5 мм,-
Львів,2012,6,+18 °,+31.2°,+7.2°,3 м/с,91 мм,-
Львів,2012,7,+21.5 °,+32.5°,+11°,2.8 м/с,60.9 мм,-
Львів,2012,8,+18.8 °,+34.3°,+7.1°,2.6 м/с,77.2 мм,-
Львів,2012,9,+15 °,+27.5°,+2.4°,2.7 м/с,40.6 мм,-
Львів,2012,10,+8.9 °,+22.9°,-1.5°,2.4 м/с,54.4 мм,0.7 см
Львів,2012,11,+5.2 °,+16.5°,-3.8°,2.7 м/с,26.8 мм,-
Львів,2012,12,-3.9 °,+7.5°,-14.3°,2.1 м/с,54 мм,16 см
Любашівка,2012,1,-4 °,+5.7°,-18.4°,3.5 м/с,55.1 мм,25 см
Любашівка,2012,2,-9.5 °,+4.2°,-26.9°,3.4 м/с,23.9 мм,35 см
Любашівка,2012,3,+3 °,+21.2°,-8.2°,3.2 м/с,20.7 мм,17 см
Любашівка,2012,4,+12.4 °,+30.1°,-1.2°,3.1 м/с,50.1 мм,-
Любашівка,2012,5,+19 °,+30.7°,+8.5°,3.3 м/с,27.7 мм,-
Любашівка,2012,6,+22.3 °,+35.4°,+10.8°,2.5 м/с,14.3 мм,-
Любашівка,2012,7,+24.9 °,+35.2°,+14°,3 м/с,27.7 мм,-
Любашівка,2012,8,+22.2 °,+37.6°,+10.5°,2.7 м/с,20.3 мм,-
Любашівка,2012,9,+18 °,+29.6°,+7°,2 м/с,55.7 мм,-
Любашівка,2012,10,+11.7 °,+25.3°,+1.6°,2.5 м/с,59.4 мм,-
Любашівка,2012,11,+4.9 °,+16.7°,-2.8°,2.7 м/с,26.4 мм,-
Любашівка,2012,12,-4.4 °,+6.4°,-18°,3.7 м/с,125.5 мм,20 см
Маріуполь,2012,1,-3.1 °,+4.7°,-17.1°,5.9 м/с,48.8 мм,5 см
Маріуполь,2012,2,-8.7 °,+2.6°,-23.2°,4.9 м/с,33.7 мм,10 см
Маріуполь,2012,3,+0.4 °,+12.4°,-10.1°,4.7 м/с,32.9 мм,6 см
Маріуполь,2012,4,+11.4 °,+27.7°,+1°,3.5 м/с,30.1 мм,-
Маріуполь,2012,5,+19.9 °,+27.9°,+10.7°,4.2 м/с,50.5 мм,-
Маріуполь,2012,6,+22.7 °,+33°,+13.4°,3.5 м/с,39 мм,-
Маріуполь,2012,7,+25.5 °,+36.7°,+14.6°,4.2 м/с,18.2 мм,-
Маріуполь,2012,8,+24 °,+33.7°,+8.4°,4.2 м/с,46.3 мм,-
Маріуполь,2012,9,+18.2 °,+25.5°,+7.9°,3.5 м/с,22.6 мм,-
Маріуполь,2012,10,+14 °,+23°,+5°,4.2 м/с,17.1 мм,-
Маріуполь,2012,11,+5.8 °,+16°,-3.8°,4.8 м/с,7.9 мм,-
Маріуполь,2012,12,-2.5 °,+13.2°,-13.8°,6.8 м/с,49.6 мм,8 см
Миронівка,2012,1,-4.5 °,+5.9°,-23.6°,2.6 м/с,57.1 мм,26 см
Миронівка,2012,2,-11.1 °,+16.2°,-29.8°,2.3 м/с,26.8 мм,33 см
Миронівка,2012,3,+1.8 °,+17.7°,-11.5°,3.1 м/с,25.1 мм,15 см
Миронівка,2012,4,+12.3 °,+29.8°,-0.4°,2.7 м/с,62.5 мм,-
Миронівка,2012,5,+18.3 °,+29.4°,+7.7°,2.4 м/с,15.1 мм,-
Миронівка,2012,6,+20.7 °,+34°,+10.2°,2.2 м/с,72.2 мм,-
Миронівка,2012,7,+23.3 °,+35.2°,+12.3°,2.3 м/с,53.8 мм,-
Миронівка,2012,8,+20.4 °,+36.7°,+7.8°,2.2 м/с,69.6 мм,-
Миронівка,2012,9,+16.7 °,+27.9°,+5°,1.9 м/с,41 мм,-
Миронівка,2012,10,+10.5 °,+25.3°,-1.7°,2.3 м/с,45 мм,-
Миронівка,2012,11,+4.6 °,+14.6°,-6.8°,2.5 м/с,26.6 мм,-
Миронівка,2012,12,-4.8 °,+5.9°,-19°,2.4 м/с,112 мм,23 см
Могилів-Подільський,2012,1,-2.3 °,+40.6°,-18°,1.2 м/с,10.6 мм,3 см
Могилів-Подільський,2012,2,-8.7 °,+12.3°,-30°,1.2 м/с,84.3 мм,56 см
Могилів-Подільський,2012,3,+3.9 °,+20.8°,-10.7°,1.8 м/с,24 мм,16 см
Могилів-Подільський,2012,4,+12.6 °,+31.3°,-2.5°,1.6 м/с,76.6 мм,-
Могилів-Подільський,2012,5,+17.9 °,+32°,+5.8°,1.2 м/с,40.5 мм,-
Могилів-Подільський,2012,6,+21.5 °,+36°,+9.6°,1.3 м/с,44.3 мм,-
Могилів-Подільський,2012,7,+24.9 °,+37.3°,+11°,1.3 м/с,26.5 мм,-
Могилів-Подільський,2012,8,+21.6 °,+39.5°,+8.1°,1.2 м/с,50.8 мм,-
Могилів-Подільський,2012,9,+17.7 °,+29.9°,+3.4°,1.2 м/с,5.7 мм,-
Могилів-Подільський,2012,10,+11.4 °,+29.9°,-4.4°,1.1 м/с,56.4 мм,-
Могилів-Подільський,2012,11,+6.1 °,+17.9°,-0.6°,1.3 м/с,22.3 мм,-
Могилів-Подільський,2012,12,-4.4 °,+8.3°,-19.1°,1.4 м/с,105.3 мм,53 см
Ніжин,2012,3,+1.1 °,+1.1°,+1.1°,2 м/с,0 мм,-
Ніжин,2012,8,+12.1 °,+12.1°,+12.1°,0 м/с,0 мм,-
Ніжин,2012,9,+14.6 °,+27°,+5.6°,1.6 м/с,61.3 мм,-
Ніжин,2012,10,+9.2 °,+24°,-2°,2.1 м/с,76.1 мм,-
Ніжин,2012,11,+4.1 °,+13.2°,-7.2°,2.7 м/с,70.2 мм,-
Ніжин,2012,12,-5.1 °,+9.2°,-19.5°,3.2 м/с,95.9 мм,28 см
Миколаїв,2012,3,+3.1 °,+3.1°,+3.1°,6 м/с,0 мм,-
Миколаїв,2012,8,+18.1 °,+18.1°,+18.1°,2 м/с,0 мм,-
Миколаїв,2012,9,+19 °,+29.5°,+10.6°,3 м/с,54 мм,-
Миколаїв,2012,10,+14 °,+27°,+4.9°,4.1 м/с,77 мм,-
Миколаїв,2012,11,+6.3 °,+17.4°,-2.5°,3.6 м/с,20.8 мм,-
Миколаїв,2012,12,-1 °,+13.4°,-21.1°,5.6 м/с,133.1 мм,9 см
Звягель,2012,3,+3.8 °,+3.8°,+3.8°,2 м/с,0.6 мм,-
Звягель,2012,8,+16 °,+16°,+16°,0 м/с,0 мм,-
Звягель,2012,9,+15.2 °,+26.8°,+5.5°,1.2 м/с,24.2 мм,-
Звягель,2012,10,+8.8 °,+23.5°,-0.8°,1.6 м/с,211.7 мм,0.7 см
Звягель,2012,11,+4.8 °,+13.7°,-0.9°,1.5 м/с,62.4 мм,-
Звягель,2012,12,-5.4 °,+5.1°,-18.3°,1.6 м/с,163.9 мм,35 см
Нова Каховка,2012,3,+2.2 °,+2.2°,+2.2°,5 м/с,2 мм,-
Нова Каховка,2012,8,+19.7 °,+19.7°,+19.7°,3 м/с,0 мм,-
Нова Каховка,2012,9,+19.7 °,+28.3°,+12.5°,2.5 м/с,6.8 мм,-
Нова Каховка,2012,10,+15.1 °,+26.4°,+3.6°,2.8 м/с,71.6 мм,-
Нова Каховка,2012,11,+7.1 °,+17.2°,-2.1°,2.4 м/с,14 мм,-
Нова Каховка,2012,12,+0.3 °,+15.1°,-18°,4.2 м/с,121.9 мм,6 см
Нова Ушиця,2012,3,+4.5 °,+4.5°,+4.5°,3 м/с,0 мм,-
Нова Ушиця,2012,8,+19.4 °,+19.4°,+19.4°,1 м/с,0 мм,-
Нова Ушиця,2012,9,+16.4 °,+27.7°,+5.5°,1.7 м/с,23 мм,-
Нова Ушиця,2012,10,+9.8 °,+26.8°,-0.4°,2 м/с,129.8 мм,-
Нова Ушиця,2012,11,+4.4 °,+15°,-2.5°,1.9 м/с,78.8 мм,-
Нова Ушиця,2012,12,-5.4 °,+7.1°,-18.5°,2.4 м/с,197.1 мм,34 см
Новомиргород,2012,9,+16.5 °,+28.8°,+5.7°,1.4 м/с,64 мм,-
Новомиргород,2012,10,+10.8 °,+26.3°,-0.5°,1.9 м/с,128.3 мм,3 см
Новомиргород,2012,11,+4.5 °,+14.7°,-4.6°,2 м/с,55 мм,-
Новомиргород,2012,12,-4.1 °,+10.9°,-21.4°,3.1 м/с,129.7 мм,23 см
Овруч,2012,3,+1.1 °,+1.1°,+1.1°,1 м/с,1.4 мм,-
Овруч,2012,8,+13.8 °,+13.8°,+13.8°,0 м/с,0 мм,-
Овруч,2012,9,+14 °,+26.8°,+3.7°,0.9 м/с,34.6 мм,-
Овруч,2012,10,+8.3 °,+24.2°,-3.8°,1.2 м/с,156.6 мм,3 см
Овруч,2012,11,+4.6 °,+16.6°,-1.3°,1.7 м/с,79.5 мм,-
Овруч,2012,12,-5.4 °,+4.1°,-18.2°,1.3 м/с,175.5 мм,42 см
Одеса,2012,1,-0.9 °,+7.6°,-14.1°,3.8 м/с,64.7 мм,3 см
Одеса,2012,2,-5.5 °,+9.4°,-18°,3.8 м/с,24.4 мм,8 см
Одеса,2012,3,+4.8 °,+20.3°,-5.6°,2.4 м/с,29.5 мм,8 см
Одеса,2012,4,+10.9 °,+27.8°,+0.8°,2.3 м/с,11.2 мм,-
Одеса,2012,5,+19.5 °,+29.2°,+10.6°,2.3 м/с,72.8 мм,-
Одеса,2012,6,+22.3 °,+33.1°,+13.3°,2.2 м/с,28.9 мм,-
Одеса,2012,7,+25.6 °,+34.1°,+11.4°,2.2 м/с,66.8 мм,-
Одеса,2012,8,+24 °,+35.4°,+12.6°,2.4 м/с,45.1 мм,-
Одеса,2012,9,+19.6 °,+27.1°,+11.6°,2.2 м/с,3 мм,-
Одеса,2012,10,+15.1 °,+77.6°,+4.6°,2.7 м/с,63.5 мм,-
Одеса,2012,11,+7.9 °,+16.1°,-1.3°,3 м/с,32.1 мм,-
Одеса,2012,12,+0.3 °,+13.6°,-12.4°,4.8 м/с,82.5 мм,9 см
Олевськ,2012,9,+14 °,+26°,+3°,2 м/с,87.3 мм,-
Олевськ,2012,10,+8.3 °,+23.6°,-3°,2.1 м/с,201.3 мм,-
Олевськ,2012,11,+4.8 °,+14.8°,-0.6°,2.5 м/с,72.2 мм,-
Олевськ,2012,12,-5.2 °,+5.2°,-17.7°,2.6 м/с,152.7 мм,36 см
Полтава,2012,1,-4.4 °,+6.3°,-18.6°,3.8 м/с,66.9 мм,11 см
Полтава,2012,2,-10.3 °,+2.1°,-25.6°,3.2 м/с,28.5 мм,21 см
Полтава,2012,3,-0.1 °,+13.3°,-12.3°,4 м/с,17.4 мм,16 см
Полтава,2012,4,+13.6 °,+29.2°,+0.1°,2.8 м/с,45.4 мм,1 см
Полтава,2012,5,+19.4 °,+30.4°,+8°,3 м/с,21.5 мм,-
Полтава,2012,6,+21.4 °,+33°,+10.2°,2.9 м/с,52.3 мм,-
Полтава,2012,7,+24.4 °,+33.8°,+11°,3.1 м/с,46.9 мм,-
Полтава,2012,8,+21.4 °,+36°,+7°,3.4 м/с,94.3 мм,-
Полтава,2012,9,+16.7 °,+26.8°,+6.5°,2.3 м/с,34 мм,-
Полтава,2012,10,+10.9 °,+23.8°,+0.1°,2.8 м/с,142.4 мм,-
